Index,content,comments,date
0,"8월 말 소중한 휴가가 생겨서 여행을 계획중인데요! 3박4일 해외여행 vs 국내여행 어떤게 좋을까요? 아기는 19개월이고 잘먹고 잘자고 잘놀고 안울기때문에 엄마 아빠만 잘 하면 되는 상황입니다 ㅎㅎㅎ 해외여행은 후쿠오카나 오사카 괌 생각 중이고, 국내 여행은 대구 제주도 강원도 등을 고민 중입니다!! 다녀오신 분들의 소중한 의견 감사히 듣겠습니다 :D","['국내여행 추천이요!! 저는 말통하는 국내가 좋더라구요 ㅠ', '국내 어디가 좋으셨어요ㅠㅠ?? 지역이용!ㅎㅎ', '최근에 속초 강릉 다녀왔는데 완전 만족했어요 ㅠㅠ!', '저도 국내여행 추천합니다~!', '어느 지역이 좋으셨나요!?!?ㅋㅋㅋ', '국내여행으로는 3박4일 한곳에만 있기는 좀 그렇고 여러군데 돌아보는것도 추천드려요~ 아기 컨디션이 잘 따라준다면 해외여행도 좋죠!', '그럴까요? 자차로 가니까 돌아다니기도 좋을것같아용', '전 해외여! 국내는 언제든 갈 수 있다는? 그런 생각이라ㅠ 3일 이상은 해외 갑니다!!', '가보셨던 해외 어디 추천하시나용? 날씨만 아니면 바로 해외 예약할것같아여ㅠ3ㅠ', '저는 솔직히 어디든 좋은거 같아요ㅠ 저희 아가는 그냥 비행기를 좋아해서 진짜 잘 다녔거든요ㅠ 여름엔 세부도 좋았어요! 날이너무 덥지 않으면 일본도 좋을것 같아요!', '세부는 생각도 못해봤는데 찾아볼게요 ㅎㅎ 감사합니다!', '해외여행도 가능할것 같아요! 저는 첫째 두돌전에 비행기 무료 활용한다고 오사카랑 오키나와 갔었어요 ^^ 순둥순둥하면 더더욱 해외도 가능할것 같아요. 이 시기에는 무료니까 메리트 있는것 같아요!', '크 그쵸! 저도 무료 인것때문에 더 고민되네용 ㅎㅎ  아가랑 오사카 괜찮으셨어요??', '오사카 갈 때 신랑은 회사 휴가를 못빼서 아이 아빠는 못가고 저랑 친한 친구랑 저희 아가랑 셋이 갔었는데요. 그래도 여기저기 골고루 잘 다녔답니다. 다만 지하철 탈때 유모차 오르락 내리락이 좀 힘들었고, 그외에는 즐겁게 잘 다녔어요!오키나와 때는 신랑이 렌트해서 다녀서 더 편하긴했어요~!!', '우왕 감사해요~! 잘 고민해보겠습니당', '아기 컨디션만 잘 따라준다면 전 무조건 해외요~ 후쿠오카도 괜찮도 아기랑이라면 오사카보다 오키나와가 더 괜찮은 것 같아요ㅎㅎ', '오키나와! 생각 못해봤는데 한번 검색해볼게요 감사합니다!', '가까운 곳이면 해외도 괜찮을 것 같네요~', '해외 ! 넘 고민되네용 ㅎㅎ 감사합니다~!', '경주 한번가보셔요 엄청 좋더라구요 ㅎㅎㅎ', '연애할때 경주 너무 좋았는데 고민해볼게요 감사합니다^^!', '저라면 해외 갈 거 같아요~ 말씀하신 것 중에 후쿠오카! 괜찮을 것 같아요ㅎㅎ', '전국내요 ㅎ']",2024.07.01
1,"2박 3일 가려는데, 국내여행 추천 좀 해주세여 ㅠㅠ 15개월아기인데.. 남편이 여름에 바빠서.. 지금 가야해서요 ㅠㅠ ​ 앗 제주도 빼구요 ㅠㅠ!! 공항이 없는 지역이라 공항까지 가려면 2시간 반 차로 가야해여..ㅠㅠㅎㅎ 거기에 비행기까지 2박3일은 너무 힘들 것 같아 제주는 빼구여 ㅠㅠ ​ 국내 여행 어디가 좋을까요 ?? 서울도 괜찮아요!! 아기랑 갈만한 곳 다다 좋아요!! :) 참견해주셔요ㅠㅠ","['날씨 좋고 물놀이 가능한 계절이왔으니,, 해수욕장 어떠세요,, 방아머리 대부도 속초 등등~~!!', '사시는 지역이 어딘지 모르겠지만 \n15개월이면 동해쪽(속초,강릉등)이 좋긴해요~', '경주 넘 잘다녀왓엇네요 ㅎ', '강원도쪽도 괜찮고 여수나 남해쪽도 괜찮은거 같아요', '경주/강원도 좋아요. 강원도 얼마전에 다녀왔는데 대관령양떼목장-속초숙소-중앙시장-아바이마을-속초해변-속초대관람차-속초 영량호 호수 산책등등 너무 좋았어요.  영량호에 스타벅스20층짜리 오픈했는데 들려보세요. 거기서 바라보는 금강산 신선대 풍경이 아주 끝내줍니당...아기 의자도 있어요']",2024.05.20
2,"복직할 날이 얼마 남지 않아 아기랑 국내여행 떠나보려고 해요. 뛰어다니는 것과 물놀이 좋아하는 20개월 아기와 먹을 것을 사랑하는 부부가 가려고 합니다. 아기랑 국내여행 경험은 제주도, 키즈풀빌라, 파라다이스호텔 세번뿐이에요! ​ 2박3일로 떠나려 하고 차는 잘 타지만 너무 멀면 힘들 것 같아요. 몇군데 찾아본 결과 세 개 정도로 후보를 추렸는데 다녀와보신 분들 골라주셔도 되고 더 좋은 곳 추천해주셔도 되어요! 부탁드립니다🥰 ​ 1. 제천 리솜포레스트 다녀오신 분들이 좋다고 추천하시기에.. 가을에 가면 더 예쁠것같지만 가을엔 가기 힘들것같아요 ㅜㅎㅎ ​ 2. 속초 롯데리조트 바다가 가까워서 아이가 좋아할 것 같아요 ​ 3. 평창 켄싱턴호텔 노후했지만 아기랑 가기 좋다는 평이 많네요. ​ 6월중에 가려고 하는데 어디가 좋을까요?",['속초 롯데리조트 좋아보여요. 바다도 가시고 설악워터피아도 가시면 좋은 추억 만드실듯요^^'],2024.05.24
3,12개월 열경련있는 아기예요 어제 열경련시작해서 지금 입원중인데 2주뒤 국내여행 1주일다녀올생각이고 대천 남해 거제 여수 코스입니다! 약 한달뒤 경주+부산 다녀오기로했는데 많이 무리겠죠? ㅜㅜ 아니면 대도시로 다녀도 힘들까요..?ㅜㅜ(대학병원 소아과있는 도시) 내년에 해외도 갈 생각이였는데 해외여행은 완전히 접을생각입니다..ㅠㅠ,"['2주뒤는취소고 한달뒤꺼는가능할듯요해외는 맘접으세요 한6살되면 충분히가니 좀참으심이', '저도 2주 뒤는 취소이고, 한달 뒤를 목표로 컨디션 회복과 체력 회복에 집중 할 것 같아요', '열경련 했어도 해외갔다왔어요ㅎ해열제 교차복용할꺼까지 넉넉히 챙기구요 열경련 열오를때만 경련할수도 있는거지 그외엔 일상생활가능해요 국내는 어디든 큰 문제 없을꺼 같은데요 37.5도되믄 빨리 해열제 먹여서 열 잡으면 괜찮아요', '2주뒤면 다 낫고도 나을 기간 아닌가싶은데...ㅎ전 가여..ㅎ', '열경련 항상 하는거도아니고 지금 아픈거 확실하게 나으면 다 가셔도될거같아요']",2024.06.15
4,집은 서울이고 제가 아직 부산을 못가봐서 이번에 꼭 가고 싶은데.. 뱅기나 기차 타구 렌트하느니 저희는 운전하는게 더 편하거든요 ​ 문제는 아기인데 최장거리는 2~3시간 정도 차탔고 매주 엄마랑 두세번은 단거리 차로 이동 마니 하는 편이긴해용 ​ 애바애겠지만 카시트에 태우고 서울 부산은 감당 안될까요? 경험 있으신분 알려주세요..🙏🏻,"['지금 15개월인데 친정이 서울이라 나주에서 서울까지 5~6번은 갔던거 같아요. 아기 6개월때부터요 졸리게해서 차에서 자면 수월하게가고 힘들어하면 간식먹이면서도 가고 휴게소에서 쉬었다가도 가고 가야되면 다 가게되더라구요', '졸린 상태에서 출발이 포인트네요ㅋㅋ 용기 얻어서 올해는 꼭 가봐야겠어요..😊', '그쯤 장거리가봤어요 낮잠시간맞추고 영상틀어주거나 장난감가지고 놀아주고 떡뻥주고하고 생각보다 시간금방가요~', '테블릿 챙겨야겠어요 감사해용 ㅋㅋ 제가 운전한다 해야겠네요😅', '시댁 그쪽이라 그쯤 첨 내려갔는데 밤에 출발해서 재우면서 갔어요', '오 밤출발 그런 방법이 있네요!! 감사해요👏🏻👏🏻', '장거리 갈 땐 밤에 가는 방법이 최고인 것 같아요 ~~ \n물론 운전하시는 분이 피곤하시긴 하지만  차밀리지도 않아서 빨리도착할 수 있고요', '그런거같네요 저랑 신랑이랑 교대로 운전해서 밤출발도 저희는 괜찮을 것 같아요 감사합니다..🫶🏻', '엄빠두 아가두 대단해요..👍🏻', '6개월때부터 저희 시댁이 그쪽이라 내려갔어요. 저희는 남편이 밤 운전을 선호하지 않아 낮에 휴게소 두세번 들려가며 6시간 반 정도 걸려 도착했어오. ㅎㅎ 지금 19갤이구요', '휴게소 두세번에 7시간 내외면 그래도 도전해 볼만 할거 같아용 저희는 9시간까지 예상했어용 ㅋㅋㅋ 감사해요!', '막히지.않는.시간대에.잘 다녀오세용 ㅎㅎ', '140일부터 대구-인천 다녀봣고 강화도에서 출발해서 대구 온 날 7시간 걸렸는데 어찌저찌 잘 왔어요 저희아가도 15갤인데 이제 낮잠을 한번에 길게 안자서 힘들김 하더라고요ㅠㅠ 아침7시에 출발했는데도.. 밤에 출발함이 좋을 듯 헤여ㅠ', '아 맞아요 지금 낮잠2가 거의 실종상태고 자더라도 넘 짧아요 ㅜㅜ 어쩔땐 하루에 낮잠을 40분 자고 땡칠때도 있더라구용 밤출발 의견 감사해요..!😉', '서울부산 가능이요~!\n카시트하고 낮잠시간이나 밤잠시간에 맞춰가면 수월한데\n자는시간 맞추기 힘들면 휴게소 들려서 놀면서 쉬엄쉬엄 갔어용~\n비눗방울 챙겨서 휴게소에서 놀아주면 아이도 재밌어서하고 좋아해요!!', '15개월 전에 서울에서 거제도까지 다녀왔어요 .. ㅋ출발은 아침 6시 넘어서 했던것같아요(지금 25개월인데  그 당시 우리가 넘 무모하긴 했었나? 싶긴 해요 )그래도  중간중간 휴게소 들려주면서~가고 아기가 차는 잘 타는 아기라 그래도 수월하게 다녀 온 것 같아요!']",2024.05.20
5,"안녕하세요~! 아기 160일차 정도에 국내여행을 가려고 하는데, 제주도 vs 여수&순천 어디가 더 나을까요ㅠㅠ? 여수 순천은 집에서 2시간 거리인데, 유모차로 다닐만한 여행지가 많이 없는것 같아 고민이네요ㅠㅠ 혹시 제주도랑 여수&순천 외에도 유모차로 다니기 좋은 국내여행지 추천 부탁드리겠습니다ㅠㅠ",['여수나 순천 괜찮은 것 같아용'],2024.05.07
6,"4살아이, 4개월아기, 시부모님이랑 1박2일로 국내여행지와 숙소 추천해주세요~ 제주도는 지난두다녀와서 빼구요~ ^^","['남해 좋았어요~', '남해 어디가좋을까요?', '다 가본곳은 아니지만 10곳 유명명소 적어볼께요.보리암상주 은모래비치독일마을다랭이마을두모마을설리스카이워크양떼목장 3군데있어요.토피아랜드보물섬전망대남해대교10곳중 연령대 시간대 계절에 맞춰 돌아다녀보셔도 좋을거같아요:)', '감사해요~^^', '순천 어떠세요~? 최근에 단체로 갔다왔는데 너무 좋았어요!', '순천만다녀오셨나요?', '여수 순천 경주 통영 거제 남해 태안 추천드려요~~', '혹시 경주 남해 태안은 각각 어디가 좋을까요?']",2024.06.07
7,8월에 복직 예정이라 아기가 7월부터 어린이집 갈 예정입니다. 8월에 돌아기랑 여행 가볼까 하는데 마구마구 추천해주세요~,['복직후 여행 가능하세요?'],2024.06.25
8,대만갈까 국내갈까 아직도 고민중인데 남편은 해외갈돈으로 호캉스하면서 국내 여행지 돌아보고싶다고 하더라구요~ 혹시 여기 진짜 좋았다!! 하는 국내 여행지 있을까요? 아기들은 친정에 맡기고 둘이 4박5일 여행할거에요~ 여수 통영 거제 부산 울산 코스도 괜찮을것같은데 어떤가요? 다 상관없이 추천 부탁드려요~^^,"['전 이번에 경주 너무 좋았어요!', '포항 개인적으로 너무한적하고 바다도 이쁘고 바다보이는 커피숍도 많고 좋았어요', '전 통영이 좋았어요!  그냥 편안함이..ㅎㅎ', '저도 통영 좋아요~오션뷰펜션도 저렴하고 배타고 욕지도에서 먹는 짬뽕도 최고에요~!!!', '혹시 펜션  추천좀^^\n부탁드려도 될까요?', '저는 아라풀빌라 펜션이랑 우리바다 펜션 가봤어요~아라풀빌라는 독채이고 풀빌라여서 아이들 놀기는 좋았는데 좀 외진곳에 있었어요~우리바다펜션은 침대가 여러개어서 딩굴딩굴하기 좋았구여~아~!!간단하지만 조식도 나왔어요~', '전 울산이요 대왕암공원도 좋았고 명선도라는 도보 가능한섬이 있는데 밤에가면 너무 이뻐요 태화강도 좋구요. 울산에2번 가봤는데 시민들도 친절하고 너무 좋았어요', '저도 울산 너무 좋았어요.', '경주 좋았어요 ㅎ 주상절리가 정말 예술이예요^^', '경주랑 부산이요\n볼거리는 경주\n먹거리는 부산..\n걷는거 좋아하시면 경주,\n시간적 여유가 많고 차타는게 싫지않다면 부산이요', '고성 청간정 속초요^^', '경주도 좋고요\n한적한거 좋아하심 강원도 고성도 좋고요.\n저는 개인적으로 전남 담양도 좋았어요. 전주랑 가까우니 올라오면서 전주도 구경하고 왔어요.', '통영은 저도 좋았던 기억이 있어요 ㅎㅎ 경주도 좋구요~~여수도요', '부산~경주~포항\n여수~통영~거제\n강릉~동해~삼척\n요런  코스 좋더라구요~~^^']",2024.07.01
9,"해외는 꿈도 못꿀것 같고요 ㅋㅋㅋㅋ 이유식 먹이기전이 오히려 편하다고 해서 국내여행 가볼까 싶은데, 수도권 살고있는데 가깝게 강원도여행은 괜찮겠죠? 100일 넘은 아기에요!!","['어후 저는 최소 6개월 이후를 추천합니다..ㅋㅋㅋㅋ 이유식은 시판 사서 먹이면 되구요. 아기 어리면 낮잠 때문에 힘들어요. 낮잠을 3~4번씩 자니까 낮잠시간 맞추느라고 어디 이동하기가 너무 힘들고 정신 하나도 없어요. 그냥 애 잠만 재우다가 다 끝나요. 최소한 낮잠 2회로 줄고 나서 가는 게 좋을 거예요. 낮잠 1회로 줄면 더 편하구요. 암튼 낮잠이 제일 문제. 아기들 낮잠 시간 놓치면 울고불고 난리치니까요….', '앗 낮잠..ㅠ ㅠ 그 생각을 못했네요 ! 시판도 잘 나온다니 한번 찾아볼게요! 댓글 너무 감사드려용', '100일에요??!! ㅎㅎㅎ 와 정말 용기가 대단!', '맞아요 ㅎㅎ 저는 집 주변이랑 엄청 많이 다니는데 차에서도 잘 자고 그렇긴 하더라구요~집이 최고긴 합니다 ㅎㅎ', '제 지인은 50일 조금 넘었을때 애기 데리고 가평도 놀러가고 그러더라구요~ 데려가는 분들은 다 데려가요', '날이 좀 따뜻해지면 다시 계획을 짜봐야겠어요 ^^ 너무 겁먹지는 말아야겠구용 ㅎㅎ', '저두 강원도 속초로 2박3일 갔었어요 \n호텔에 아기침대 , 젖병소독기 예약하고 분유포트챙기고 이유식챙기고 챙길게 많지만 그래두 엄마가 잠시라도 힐링이 된다면 다녀오시는 거 추천이요^^', '속초 ㅠㅠ 아기낳기 전에는 자주갔었는데! ㅎㅎ 마음 굳게 먹고 다녀와갸할까봐요 ㅎㅎ', '어떤 호텔인지 여쭤봐도 될까요?젖병소독기가 있는 호텔이라니!!', '세인*존스호텔이요 속초가 아니라 강릉이었어요 젖병소독기, 침대가드, 아기욕조, 아기침대 다 대여가능해요 대신 선착순이요', '저는 첫째는 6갤부터 둘째는 100일전주터 여행다니고있어용ㅋㅋㅋㅋㅋ 첫째는 6갤 첫여행이 제주도였고 그 이후 돌전까지 여행 제주도 2번 더에 부산 경주 등등 엄펑 다녔어용ㅎㅎ 여행 추천드립니다', '돌전에 제주도 속초 많이 갔어요', '전 백일 전부터 실내 위주로 잘 다녔어요돌 된 지금까지 강원도 호캉스 여수 제주도 등등 많이 다녔네요']",2024.01.10
